albatross,1
alligator,1
alpaca,1
anteater,1
antelope,1
ape,1
Armadillo,1
baboon,1
badger,1
barracuda,1
bat,1
bear,1
beaver,1
bee,1
bison,1
black panther,1
boar,1
buffalo,1
bustard,1
butterfly,1
camel,1
Caribou,1
cassowary,1
cat,1
caterpillar,1
chameleon,1
chamois,1
cheetah,1
chicken,1
chimpanzee,1
chinchilla,1
chough,1
coati,1
cobra,1
cockroach,1
cow,1
crab,1
crane,1
crocodile,1
crow,1
cuckoo,1
Curlew,1
deer,1
dinosaur,1
dog,1
dolphin,1
donkey,1
dove,1
dragonfly,1
duck,1
eagle,1
eel,1
elephant seal,1
elephant,1
emu,1
falcon,1
ferret,1
finch,1
fish,1
flamingo,1
fox,1
frog,1
gaur,1
gazelle,1
giraffe,1
goat,1
goose,1
gorilla,1
grass hopper,1
grebe,1
guinea pig,1
hamster,1
hare,1
hawk,1
hedge hog,1
hen,1
Hippo,1
hoatzin,1
hornbill,1
hornet,1
horse,1
house fly,1
humming bird,1
hyena,1
ibex,1
ibis,1
impala,1
jackal,1
jaguar,1
jay,1
jelly fish,1
kagu,1
kangaroo,1
kingfisher,1
kiwi,1
koala,1
komoda dragon,1
leopard,1
lion,1
llama,1
lobster,1
magpie,1
mammoth,1
mandrill,1
mink,1
mongoose,1
monkey,1
moose,1
mosquito,1
mouse,1
octopus,1
Opossum,1
ostrich,1
otter,1
owl,1
oyster,1
panda,1
parrot,1
partridge,1
peacock,1
pelican,1
Penguin,1
Pheasant,1
pig,1
pigeon,1
polar bear,1
pug,1
rabbit,1
raccoon,1
rat,1
red panda,1
reindeer,1
rhea,1
rhinoceros,1
salamander,1
sandgrouse,1
sea lion,1
seal,1
shark,1
sheep,1
sloth,1
snail,1
snake,1
spider,1
squirrel,1
stork,1
swan,1
tiger,1
tinamou,1
trogon,1
turaco,1
turkey,1
turtle,1
vulture,1
walrus,1
wasp,1
weasel,1
whale,1
wolf,1
woodpecker,1
yak,1
zebra,1
